poem_id,book_name,count,title,verses,verse_number,label,poet
1,دوبیتی‌ها,1,دوبیتی شمارهٔ ۱,"ببندم شال و میپوشم قدک را / بنازم گردش چرخ و فلک را
بگردم آب دریاها سراسر / بشویم هر دو دست بی نمک را
",2,dobeyti,babataher
2,دوبیتی‌ها,2,دوبیتی شمارهٔ ۲,"تن محنت کشی دیرم خدایا / دل با غم خوشی دیرم خدایا
زشوق مسکن و داد غریبی / به سینه آتشی دیرم خدایا
",2,dobeyti,babataher
3,دوبیتی‌ها,3,دوبیتی شمارهٔ ۳,"اگر یار مرا دیدی به خلوت / بگو ای بی‌وفا ای بیمروت
گریبانم ز دستت چاک چاکو / نخواهم دوخت تا روز قیامت
",2,dobeyti,babataher
4,دوبیتی‌ها,4,دوبیتی شمارهٔ ۴,"ته که ناخوانده‌ای علم سماوات / ته که نابرده‌ای ره در خرابات
ته که سود و زیان خود ندانی / بیاران کی رسی هیهات هیهات
",2,dobeyti,babataher
5,دوبیتی‌ها,5,دوبیتی شمارهٔ ۵,"دلی دیرم خریدار محبت / کز او گرم است بازار محبت
لباسی دوختم بر قامت دل / زپود محنت و تار محبت
",2,dobeyti,babataher
6,دوبیتی‌ها,6,دوبیتی شمارهٔ ۶,"محبت آتشی در جانم افروخت / که تا دامان محشر بایدم سوخت
عجب پیراهنی بهرم بریدی / که خیاط اجل میبایدش دوخت
",2,dobeyti,babataher
7,دوبیتی‌ها,7,دوبیتی شمارهٔ ۷,"نپرسی حال یار دلفکارت / که هجران چون کند با روزگارت
ته که روز و شوان در یاد مویی / هزارت عاشق با مو چه کارت
",2,dobeyti,babataher
8,دوبیتی‌ها,8,دوبیتی شمارهٔ ۸,"اگر دل دلبر و دلبر کدام است / وگر دلبر دل و دلرا چه نام است
دل و دلبر بهم آمیته وینم / ندونم دل که و دلبر کدام است
",2,dobeyti,babataher
9,دوبیتی‌ها,9,دوبیتی شمارهٔ ۹,"شب تاریک و سنگستان و مو مست / قدح از دست مو افتاد و نشکست
نگهدارنده‌اش نیکو نگهداشت / وگرنه صد قدح نفتاده بشکست
",2,dobeyti,babataher
10,دوبیتی‌ها,10,دوبیتی شمارهٔ ۱۰,"نفس شومم بدنیا بهر آن است / که تن از بهر موران پرورانست
ندونستم که شرط بندگی چیست / هرزه بورم بمیدان جهانست
",2,dobeyti,babataher
