poem_id,book_name,count,title,verses,verse_number,label,poet
1,جام جم,1,سر آغاز,"قل هوالله لامره قد قال / من له‌الحمد دائما متوال
احد غیر واجب باحد / صمد لم یلد و لم یولد
آنکه هست اسم اعظمش مطلق / حی و قیوم نزد زمرهٔ حق
آنکه بی‌نام او نگشت تمام / نامهٔ ذوالجلال و الاکرام
آنکه فوقیتش مکانی نیست / وآنکه کیفیتش نشانی نیست
آنکه بیرون ز جوهر و عرضست / وآنکه فارغ ز صحت و مرضست
آنکه تا بود یار و جفت نداشت / وآنکه تا هست خورد و جفت نداشت
آنکه زاب سفید و خاک سیاه / صنع او آفتاب سازد و ماه
آنکه مغزست و این دگرها پوست / وآنکه چون نیک بنگری همه اوست
آنکه او خارج از عبارت ماست / ذات او فارغ از اشارت ماست
نیست انگشت را به حرفش راه / مگر از لا اله الالله
خرد ادراک ذات او نکند / فکر ضبط صفات او نکند
دور و نزدیک و آشکار و نهان / کردگار جهانیان و جهان
همه کروبیان عالم غیب / سر فرو برده زین دقیقه به جیب
هر چه کرد و کند به هر دو سرا / کس ندارد مجال چون و چرا
از حدیث چه و چگونه و چند / هستیش کرده بر زبانها بند
ای منزه کمالت از کم و کاست / هر چه دور از هدایت تو نه راست
راز پنهان آفرینش تو / نتوان دید جز ببینش تو
در نهان نهان نهفته رخت / در عیان همچو گل شکفته رخت
خالق هر چه بود و هست تویی / آنکه بگشود وانکه بست تویی
بنبستی دری که نگشودی / هستی امروز و باشی و بودی
از عدم در وجود میری / پیش خود در سجود میری
ندهی،نعمت تو بیشی هست / بدهی، عادت توپیشی هست
ما چه پوشیم؟ اگر نپاشی تو / چه خوریم؟ ار مدد نباشی تو
نتوانیم گفت و نیست شکی / شکر نعمت ز صد هزار یکی
کس خبردار کنه ذات تو نیست / فکر کس واقف صفات تو نیست
عرش کم در بزرگواری تو / فرش در موکب عماری تو
ای تو بیچون، چگونه دانندت؟ / چیستی؟بر چه اسم خوانندت؟
عقل ذات تو را چه نام نهد؟ / فکرت اینجا چگونه گام نهد؟
نیستت جای، در چه جایی تو؟ / همه زان تو خود، کرایی تو؟
قدرتت در عدد نمی‌گنجد / قدر در رسم و حد نمیگنجد
رخت از نور خود درآورده / پیش دلها هزار و یک پرده
دل ز بوی تو بوی جان شنود / جان چه گوی؟ ترا همان شنود
رحمتت دایمست و پاینده / لایزال از تو خیر زاینده
چونکه ذات تو بیکران باشد / کس چه گوید ترا که آن باشد؟
نه به ذات تو اسم در گنجد / نه به گنجت طلسم در گنجد
بسمو تو چون نپیوندیم / سمت و اسم بر تو چون بندیم؟
چون نبیند کسی تمام ترا / چون بداند که چیست نام ترا؟
اسم را نار در زند نورت / چه طلسمی؟ که چشم بد دورت
ذات و اسم تو هر دو ناپیداست / عقل در جستن تو هم شیداست
اوحدی، این سخن نه بر سازست / او پدیدار و دیده‌ها بازست
سخن عشق کم خریدارست / ورنه معشوق بس پدیدارست
نیست، گر نیک بنگری حالی / در جهان ذره‌ای ازو خالی
در تو و دیدن تو خیری نیست / ورنه در کاینات غیری نیست
بشناسش که او چه باشد و چیست؟ / تا بدانی که رویت اندر کیست؟
دوست نادیده دست بر چه نهی؟ / رقم بود و هست بر چه نهی؟
اندرین ره تو پردهٔ کاری / هم تو باشی، که پرده برداری
گر چه هست این حکایت اندر پوست / ما نخواهیم جز حکایت دوست
",48,masnavi,ouhadi
2,جام جم,2,مناجات,"ای خرد را تو کار سازنده / جان و تن را تو دل نوازنده
در صفات تو محو شد صفتم / گم شد اندر ره تو معرفتم
روشنایی ببخش از آن نورم / از در خویشتن مکن دورم
رشحهٔ نور در دماغم ریز / زیت این شیشه در چراغم ریز
تا ببینم چو در نظر باشی / راه یابم چو راه بر باشی
بنمایی،چرا ندانم دید؟ / ننمایی، کجا توانم دید؟
گر چه شد مدتی که در راهم / همچنان در هبوط این چاهم
از پس پرده میکنم بازی / تا مگر پرده را براندازی
بر درت بی‌ادب زدم انگشت / حلقه‌ای ساختم ز چنبر پشت
تا ز در حلقه را در آویزم / میزنم آه و اشک میریزم
بتو میپویم، ای پناهم تو / مگر آری دگر به راهم تو
سرم از راه شد، به راه آرش / دست من گیر و در پناه آرش
زین خیالات بر کنارم کش / پردهٔ عفو پیش کارم کش
با منی درد سر چه میخواهم؟ / چو تو دارم دگر چه میخواهم؟
کرمت چون ز من بریده نشد / چه ببینم دگر؟ که دیده نشد
بی‌خود ار زانکه باختم ندبی / تو به چوب خودم بکن ادبی
با چنین داغ بندگی، که مراست / به سر خود چه گردم از چپ و راست؟
از تو گشت استخوان من پر مغز / اگر چه کاری نیامد از من نغز
باد نخوت برون کن از خاکم / متصل کن به عنصر پاکم
روشنم کن چو روز شبخیزان / به شبم زین وجود بگریزان
چون بر اندیشم از تو اندر حال / مرغ اندیشه را بریزد بال
تو بجویی مرا؟ خیالست این / باز پرسی ز من؟ محالست این
تا حدوث مرا قدم چه کند؟ / وان وجود اندرین عدم چه کند؟
دیر شد کز دکان گریخته‌ام / و آب رویی، که بود، ریخته‌ام
خجلم من ز بینوایی خویش / شرمسار از گریز پایی خویش
وه! که از کار خود چه تنگدلم! / می‌نمیرم ز غم، چه سنگدلم!
سود دیدم، سفر به آن کردم / بختم آشفته شد، زیان کردم
دلم از کار تن به جان آمد / هم ز من بر من این زیان آمد
جگرم خون شد از پریشانی / آه! ازین جان سخت پیشانی!
گشته چندین ورق سیاه از من / من کجا میروم؟ که آه از من!
تنگدستی چو من چه کار کند؟ / تا ازو خود کسی شمار کند
بی‌چراغ تو من به چاه افتم / دست من گیر، تا به راه افتم
جز عطای تو پایمردم نیست / غیر ازین اشک و روی زردم نیست
از تو عذر گناه می‌خواهم / چون تو گفتی: بخواه، میخواهم
دست حاجت کشیده، سر در پیش / آمدم بر درت من درویش
مگرم رحمت تو گیرد دست / ورنه اسباب ناامیدی هست
چکند عذر پیچ بر پیچم؟ / که ز کردار خویش بر هیچم
نتوانستم آنچه فرمودی / بتوانم، به من چو بنمودی
گر ببخشی تو، جای آن دارم / ور بسوزی، سزای آن دارم
غم ما خور، که از غمت شادیم / مهل از دستمان، که افتادیم
گر چراغی به راه ما داری / به در آییم ازین شب تاری
ما چه داریم کان ندادهٔ تست؟ / چه نهد کس که نانهادهٔ تست؟
به عنایت علاج کن رنجم / دستگاهی فرست از آن گنجم
دست و دامن گشاده مییم / مدوان، چون پیاده مییم
چون گریزم؟ که پای راهم نیست / چون نشینم؟ که دستگاهم نیست
گر چه دانم که نیک بد کردم / چه توان کرد؟ چونکه خود کردم
قلمی بر سر گناهم کش / راه گم کرده‌ام، براهم کش
گر تو توفیق بندگیم دهی / جاودان خط زندگیم دهی
دل من خوش کن از شمایل خود / گردنم پر کن از حمایل خود
کام من پیش تست، پیشم خوان / خاکپای سگان خویشم خوان
با وفا عقد کن روانم را / همدم صدق ساز جانم را
دیر شد، ساغر میم درده / که من امشب نمیروم در ده
میدوم در پی تو سرگشته / تا به پایان برم سر رشته
من ازین دو رهی به آزارم / تو فرستاده‌ای، تو باز آرم
چون نهشتند در سرم مغزی / نغز دانی تو کمتر از نغزی
عشق و دیوانگی و سرمستی / کرد بازم بدین تهی دستی
از برای تو در تو دارم دست / چون تو باشی، هر آنچه باید هست
کردگارا، به حرمت نیکان / که در آرم به سلک نزدیکان
ریشهٔ آز بر کش از جانم / به نیاز و طمع مرنجانم
از شراب حضور سیرم کن / در نفاذ سخن دلیرم کن
",60,masnavi,ouhadi
3,جام جم,3,در آداب التماس,"اوحدی، گر سر لجاجت نیست / زو نخواهی که خواست حاجت نیست
باغ و خرمن چه خواهی و ده ازو؟ / زو چه خواهی که باشد آن به ازو؟
تو ازو وقت حاجت او را خواه / کو نماید به هر مرادت راه
گر مریدی جزو مرادت نیست / ور جزو خواهی این ارادت نیست
هر که بی‌او رود فرو ماند / خیز و بیخود برو، که او ماند
او شوی گر ز خود فنا گردی / تو نمانی، چو آشنا گردی
مرغ آن باغ صید این دانه است / آنچه کردی طلب درین خانه است
زلف معشوق زیر شانهٔ تست / تیر آن شست بر نشانهٔ تست
به خود آنجا کسی نداند رفت / به خدا باشد ار تواند رفت
هر چه اندر جهان او باشد / یا خود او یا از آن او باشد
خرد اندر جهان او نرسد / علم بر آستان او نرسد
با تو عقل ار چه بس دراز استد / از تو در نیم راه باز استد
گر بخواند، جدا ندانی شد / ور براند، کجا توانی شد؟
بگریزی، کجا روی که نه اوست؟ / بستیزی کست ندارد دوست
صورتی را کزو نبود خبر / نقش دیوار دان و صورت در
سر این نقش را چه دانی تو؟ / که ز نقاش در گمانی تو
ما نباشیم و این جلال بود / لم یزل بود لایزال بود
تا تو این جاه و جای را بینی / به خدای، ار خدای را بینی
ز تو یک نفس جدا نبود / تو نبینی، گناه ما نبود
راه خود کس به خود ندید آنجا / ز محمد توان رسید آنجا
",20,masnavi,ouhadi
4,جام جم,4,در نعت رسول,"عاشقی، خیز و حلقه بر در زن / دست در دامن پیمبر زن
حب این خواجه پایمرد تو بس / نظر او دوای درد تو بس
اوست معنی و این دگرها نام / پخته او بود و این دگرها خام
آنکه از اصطفا بر افلا کند / در ره مصطفی کم از خاکند
از در او توان رسید به کام / دیگران را بهل برین در و بام
اوست در کاینات مردم و مرد / او خداوند دین و صاحب درد
سفر آدم سفیرنامهٔ اوست / درج ادریس درج خامهٔ اوست
بیعه در بیعتش میان بسته / زانکه ناقوس را زبان بسته
بر سر او ز نیک نامی تاج / همه شب‌های او شب معراج
پیش او خود مکن حکایت شب / او چراغ، آنگهی شکایت بس؟
گوهر چار عقد و نه درج اوست / اختر پنج رکن و نه برج اوست
شقهٔ عرض عطف دامانش / ملک از زمرهٔ غلامانش
آن که مه بشکند به نیم انگشت / آفتابش چه باشد اندر مشت؟
وانکه در دست اوست ماه فلک / پایش آسان رود به راه فلک
شب معراج کوس مهر زده / خیمه بر تارک سپهر زده
گذر از تیر و از زحل کرده / مشکل هفت چرخ حل کرده
سر سر جملها بدانسته / شرح و تقصیل آن توانسته
در دمی شد نود هزار سخن / کشف برجان او ز عالم کن
به دمی رفته، باز گردیده / روی او را به چشم سر دیده
میم احمد چو از میان برخاست / به یقین خود احد بماند راست
راه دان اوست، جبرییلش ساز / هر چه او آورد، دلیلش ساز
ای فلک موکب ستاره حشر / وی ز بشرت گشاده روی بشر
هاشمی نسبت قریشی اصل / ابطحی طینت تهامی فصل
علم نصرتت ز عالم نور / یزک لشکرت صبا و دبور
چرخ نه پایه پای منبر تو / به سر عرش جای منبر تو
معجزت سنگ را زبان بخشد / بوی خلقت به مرده جان بخشد
روز محشر، که بار عام بود / از تو یک امتی تمام بود
بگرفته به نور شرع یقین / چار یار تو چار حد زمین
ز ایزد و ما درود چون باران / به روان تو باد و بر یاران
",29,masnavi,ouhadi
5,جام جم,5,ضراعت در صورت قسم,"ای به مهر تو آسمان در بند / یاد من کن، چو میدهم سوگند
به زمانی که عقد دین بستی / به زمینی که اندرو هستی
به بنان قمر شکن که تراست / به زبان شکر سخن که تراست
به دو گیسوی مشک پیوندت / به دو چشم سیاه دلبندت
به نماز شب و قیام و قعود / به دعای پر و رکوع و سجود
به اذان و به مسجد و محراب / به وضو کردن و طهارت آب
به شب هجرت و حمایت غار / به دم عنکبوت و صحبت یار
به خروج و فلک نوشتن تو / به عروج و به باز گشتن تو
به شهادت که شد در اسلام / به صلوة و زکوة و حج و صیام
در قناعت به نیم سیری تو / در شجاعت بدان دلیری تو
به براق و بر فرف راهت / به وصول و به قربت شاهت
به وقار تو در نزول ملک / به شکوه تو بر عقول فلک
به حدیث حیات پیوندت / به جگر گوشگان دلبندت
به شهیدان کربلا ز فسوس / بستم کشتگان مشهد طوس
به چهل مرد و چار فرزانه / به دو هم خوابه و دو هم خانه
به دو چشم سرشک بارانت / به بزرگان دین و یارانت
به عقیق تو در حدیث و کلام / به حقوق تو در شفاعت عام
به فتوحات بوقبیس و حری / به ثریای مکه تا بثری
به صیام و به بردباری تو / به قیام شب و به زاری تو
به جمال صحابه در عهدت / به رخ نه جمیله در مهدت
به دل کعبه و به ناف زمین / به کتاب و به جبرئیل امین
به حطیم و مقام و زمزم و رکن / به سکون مجاوران دو سکن
به صفا و به مروه و عرفات / به مه و مهر و فرش و کرسی و ذات
که مکن زان در اوحدی را دور / یارمندیش کن ز عالم نور
گر گناهش نهفته شدن یا فاش / نیست اندیشه این تو او را باش
زین گرانجانی و سبک پایی / هیچ غم نیست گر تو او رایی
تو به تقصیر طاعتش منگر / به قصور بضاعتش منگر
ز کرم یک نظر به کارش کن / در دو گیتی بزرگوارش کن
",28,masnavi,ouhadi
6,جام جم,6,در ستایش خرد,"ای نخستینه فیض عالم جود / اولین نسخهٔ سواد وجود
روح در مکتبت نو آموزی / ابد از مد مدتت روزی
آسمان ترا زمین سایه / آفتاب سپهر نه پایه
لنگر کشتی نفوس تویی / مسعد اختر نحوی تویی
هر که دور از تو دور ازو نیکی / وانکه نزد تو، یافت نزدیکی
نیست راه از تو تا به علت تو / بجز از بیش او و قلت تو
اندر ایجاد علت اولی / نیست بالاتر از تو معلولی
نظرت کرده تربیت جان را / یار او کرده نور ایمان را
پیش رخ بسته‌ای، ز قاف به قاف / تتق از زر نگار گوهر باف
گوش نه چرخ بر اشارت تست / کاخ هفت اختر از عمارت تست
یزک لشکر وجود تویی / قاید کاروان جود تویی
دین ز حفظ تو پایدار بود / دل ز بوی تو با قرار بود
لشکر روح را امیر تویی / همه طفلند خلق و پیر تویی
ای ز چرخ و سروش بالاتر / از تو گوهر نزاد والاتر
مددی ده، که دیو رنجم داد / جان من شو، که تن شکنجم داد
کارگاه من از تو بر کارست / تو نباشی، مرا چه مقدارست؟
سایهٔ خود مدار دور از من / مبر، ای محض نور، نور از من
به فلک راه ده روانم را / فلکی کن به علم جانم را
",18,masnavi,ouhadi
7,جام جم,7,در تسبیح فلک,"ویحک! ای قبهٔ زمرد رنگ / که ز جانم همی زدایی زنگ
کارگاه تر از کونی تو / کس نداند که: از چو لونی تو؟
بودنیها ز تست و آیینها / به تو گویی حوالتست این ها
باده‌ای گر نخورده‌ای ز کجاست؟ / که چو فرزین همیر وی چپ و راست
در تو این گردش چنین دایم / هم ز شوقیست، تا شدی قایم
مینماید که نطق و جانت هست / روشی داری و روانت هست
گر چه دانا به عمر پیرت گفت / رو، که از صد گلت یکی نشکفت
در چه کاری که خود درنگت نیست؟ / یا چه چیزی که هیچ رنگت نیست؟
دیده آب معلقت خواند / وهم دریای زیبقت خواند
هم به دشت تو گاو در غله / هم به کوه تو گرگ در گله
فارغ از فقر و احتشامی تو / دور از انبوه و ازدحامی تو
تو و آن اختران چون ژاله / باغ پر میوه، دشت پر لاله
جوهرت را عرض زمین و زمان / روشت را غرض همین و همان
چار عنصر ز گردشت زاده / تیره و روشن و نر و ماده
تنت از خرق و التیام بری / نفست از شهوت خصام عری
گشته مبنی دوام انجم تو / اعتدال مزاج پنجم تو
رخ در آسودگی نداری هیچ / خبر از آسودگی نداری هیچ
میکنی در جهان اثر بیخواست / خواهش خود به کس نگویی راست
کسی از سر دورت آگه نیست / هیچ دانا ز غورت آگه نیست
در نداری، که آیمت بر بام / سر نداری، که آیی اندر دام
چیستند این بتان رنگارنگ؟ / که در آغوششان کشیدی تنگ
رخشان دلپذیر و جان افروز / گوهر تاجشان جهان افروز
فرقشان را برسم بختاقی / افسر و تاج خالد و باقی
دایم این شمع‌ها فروزنده / بنکاهند هیچ و سوزنده
سبزهٔ این چمن دروده نشد / وز بهارش گلی ربوده نشد
نو عروسان کهنه کاشانه / خوش خرامنده خانه در خانه
در سر هر کرشمه‌شان کاری / هر نگه کردنی و بازاری
اندرین خیمه کار سازانند / چست و چابک خیال بازانند
همه کم گوی و پر نیوشیده / مهره پیدا و حقه پوشیده
در شبستان چرخ دولابی / چشمشان گشته مست بیخوابی
همه چشم چراغ این دیرند / راهب آسا همیشه در سیرند
متنفر ز نقشهای ردی / متوجه به حضرت احدی
دیده اندر پس کریوهٔ غیب / رب خود را به دیدهٔ «لا ریب»
سر بسر جان و تن به تن خردند / همه جویندهٔ اله خودند
گر چه از داد و ده جدا باشند / مدد سایهٔ خدا باشند
",35,masnavi,ouhadi
8,جام جم,8,در ستایش سلطان ابو سعید,"در جهان تا که سایهٔ شاهست / جور مانند سایه در چاهست
دو جهان را صلای عید زدند / سکه بر نام بوسعید زدند
جفت خورشید شد در ایامش / نام سلطان محمد از نامش
داور داده ده، بهادر خان / که نیامد نظیر او به جهان
شاه کشور تراز والا طرز / شاه دانا نواز دانش ورز
شاه توفیق جوی صافی تن / شاه تحقیق گوی صوفی فن
شاه شب زنده‌دار عزلت جوی / شاه پاکیزه خلوت کم گوی
صمت و تقلیل و عزلتست و سهر / که اساس ولایتست و ظفر
هر کسی را که این صفت ازلیست / در کرامات پادشاه ولیست
این یقین درست کو را هست / تیغ و گرزی چه بایدش در دست؟
دشمنش گر هزار کس باشد / زو سر تازیانه بس باشد
زنده‌ای را که او نخواست نزیست / گر کرامات نیست این پس چیست؟
آنکه رفت از درش نیامد باز / ما به این دیده دیده‌ایم این راز
و آنکه را دوست داشت چشمش روی / هم چو زینب حرام شد بر شوی
چه کنی از جنید و شهرش یاد؟ / اینک این هم جنید و هم بغداد
مرشد دین طریقت او بس / کاشف حق حقیقت او بس
حال این شاه گر ز من پرسی / جبرییلست بر سر کرسی
همه علمی به کام دانسته / سر گیتی تمام دانسته
قمری رخ، عطاردی خامه / پارسی خط و ایغری نامه
در جبینش ز عصمت مهدی / همه پیدا ظهور هم عهدی
نام مهدی ز مهد مشتق شد / عصمت شاه مهد مطلق شد
بر خلایق ز بس بلندی رای / روی او را عزیز کرد خدای
هر که با نامش آشنا گردید / همه حاجات او روا گردید
چرخ بسته میان به طاعت او / بحر محتاج استطاعت او
درچمن گفته بلبل و قمری / مدح این گلبن اولوالامری
عقل همتای او ندارد یاد / چرخ مانند او ندید و نزاد
ز صفش نام بده چتر و علم / در کفش کام دیده تیغ و قلم
فتح با رایتش به همراهی / ملک بگرفته ماه تا ماهی
از دلش جمله داد و دین زاید / ملک را خود ملک چنین باید
جاودان جمله داد و دین زاید / ملک را خود ملک چنین باید
جاودان باد و بر خوراد از بخت / شاه بغداددار کسری تخت
شرعین الکمال بادا دور / از چنین شاه و از چنین دستور
",32,masnavi,ouhadi
9,جام جم,9,تمامی این ستایش بر سبیل اشتراک,"خسروی طاهر و وزیری پاک / هر دو در دین مبارز و چالاک
آن فلک را کشیده اندر سلک / وین جهان را نظام داده به کلک
آن چو ماهست بر سپهر جلال / وین چو مهرست در جهان کمال
شب دین از فروغ این شده روز / دل کفر از شعاع آن پر سوز
هر چه این گفت او خلاف نکرد / و آنچه این، او جز اعتراف نکرد
تن آن دل شده، دل این جان / جان آن سال و مه بر جانان
زهره در بزم آن کژ آهنگی / ماه با عزم این کهن لنگی
قول آن را به راستی پیوند / عزم این مر مخالفان را بند
دل ز تضعیف این به برگ و نوا / حکم تالیف آن روان و روا
آن به شاهی فلک گزید اورنگ / وین بمیری ز ماه دارد ننگ
آن به بغداد عشق غارت کرد / وین به تبریز دین عمارت کرد
تیغ این منهی رموز ظفر / کلک او محرز کنوز قدر
سر این با خدای و خلق درست / سیر آن در رضای خالق چیست
هر زمان فکر آن به طرزی نو / هر دمی بخت این و ارزی نو
دو جهانند هر تنی به هنر / بل دو جانند در تنی مضمر
سخت نیکند، چشم بدشان دور / باهم این پادشاه و این دستور
",16,masnavi,ouhadi
10,جام جم,10,در ستایش خواجه غیاث‌الدین,"صاحب ابر دست دریا کف / میر عباد عبد آصف صف
کار فرمای هفت چرخ مشید / بوالمحامد محمد بن رشید
ملجا ملت و ملاذ عباد / زبدهٔ چهار عنصر متضاد
اختری حکم و آسمانی جاه / خاوری شهر و خاورانی شاه
هشتم هفت کوکب معلوم / پنجم چار گوهر معصوم
رای او پشتوان رایت شاه / روی او قبلهٔ امیر و سپاه
دین و دنیا ازو دو «من ذلک» / رقبهٔ او رقاب را مالک
لشکر فضل را مبارز اوست / خلق حشوند، جمله بارز اوست
کف او را دو کون یکشبه خرج / در سر انگشت او دو گیتی درج
دل و دستش بداد داد جهان / در سر او نرفت باد جهان
مال را پایمال دستش کرد / مکر دنیا بدید و پستش کرد
سفرهٔ چرخ و نان شطرنجی / چیست تا در سماط او سنجی؟
پیکر مردی و نکوکاری / کرده از ترک او کله داری
داده بزمش ز راه مستوری / جام می را به سنگ دستوری
عقل کلی گرفته دانش و پند / زان شفا بخش کلک قانون بند
عین معینست صورت ذاتش / عمدهٔ راستی اشاراتش
کرده بر تخت نیک تدبیری / رافت و رحمتش جهانگیری
به عیاری که نقد او سنجند / نقرهٔ ماه و مهر ده پنجند
جمع بستند دخل او با خرج / آسمان و زمین درو شد درج
کشور ظلم و جور غارت کرد / ملک او ازو روی در عمارت کرد
پرده از روی برگرفت هنر / زندگانی ز سر گرفت هنر
دشمنان را فگند در بیشه / هیبت او چو دیو در شیشه
همچو برجبیس در فضای سپهر / ترک ترکش سپرده تارک مهر
زیج مهرست رای رخشانش / رصد ماه در گریبانش
ای به تحریر دفتر و نامه / آزری نقش و مانوی خامه
کار تو سر بسر کراماتست / ذات تو سالک مقاماتست
آسمان چیست؟ عطف دامانت / خواجگی؟ منصب غلامانت
سلطنت سایهٔ صدارت تو / نه فلک مسند وزارت تو
قلمت مشک بیز و غالیه سای / قدمت شهر گیر و قلعه گشای
لوح محفوظ طبع دراکت / عرش ملحوظ خاطر پاکت
اندرین آب خیز نوح تویی / وندرین دامگه فتوح تویی
تا بدین نی کشید چنگ تو دست / عود چون چنگ برکنار نشست
تیر خطی نبشت در سلکی / تا بنان ترا کند کلکی
زیج جاماسب روزنامهٔ تست / افسر مشتری عمامهٔ تست
نافهٔ آهوان سنبل چر / کرده طیب از نسیم خلق توجر
دشمنانت چو برف از آن سردند / که چو یخ جمله سایه پروردند
گر چه ز آتش جوازشان دادی / هم به سردی گدازشان دادی
با ستیزنده کم ستیزی تو / خون دشمن به پینه ریزی تو
بشکنی، گر به حکم بر تابی / محور این دوقطب دولابی
ازطریق سخاوت و حری / هر ندیمت چو کوکب دری
قلمت نقش بند دفتر کن / کرمت ضامن عروج سخن
یزک لشکر تو قطب شمال / پرچم رایت تو جرم هلال
جفت خاک در تو طاق فلک / آستانت به از رواق فلک
عرش بلقیس کرسی حرمت / خاتم جم پشیزهٔ کرمت
داد دنیا تو دادی و دین هم / لاجرم آن ببردی و این هم
کس درین عرصهٔ بلند هوا / به سخن چون تو نیست کام روا
چه شود گر ز راه دلجویی؟ / قلمت چون کند سخن گویی
به میان سخن که میسازد / سخن اوحدی در اندازد
ای به حق خاتم اندر انگشتت / راست باد از برادران پشتت
باش جاوید و خرم و خندان / زان فروزنده روی فرزندان
هست جای تو چون سرای سرور / که مباد ایمنی ز جای تو دور
",51,masnavi,ouhadi
